word,layer_0,layer_1,layer_2
server,1.0,0.622,0.483
science,1.0,0.713,0.591
client,1.0,0.662,0.505
stations,1.0,0.784,0.623
files,1.0,0.593,0.429
resources,1.0,0.739,0.634
network,1.0,0.713,0.551
prohibit,1.0,0.81,0.703
public,1.0,0.604,0.433
movie,1.0,0.692,0.61
newspaper,1.0,0.675,0.544
file,1.0,0.637,0.452
contains,1.0,0.844,0.71
using,1.0,0.722,0.519
seven,1.0,0.491,0.362
bit,1.0,0.666,0.552
acknowledging,1.0,0.889,0.826
pretending,1.0,0.85,0.794
outward,1.0,0.71,0.611
feeling,1.0,0.651,0.548
widely,1.0,0.67,0.522
connect,1.0,0.758,0.704
target,1.0,0.678,0.461
quickly,1.0,0.721,0.622
income,1.0,0.657,0.556
collected,1.0,0.594,0.444
tax,1.0,0.735,0.606
taxation,1.0,0.912,0.873
deciding,1.0,0.783,0.695
factor,1.0,0.701,0.618
affairs,1.0,0.762,0.639
outcome,1.0,0.702,0.633
region,1.0,0.683,0.574
allocated,1.0,0.863,0.789
occupied,1.0,0.711,0.559
contribution,1.0,0.822,0.746
trust,1.0,0.666,0.452
arrangement,1.0,0.709,0.679
logical,1.0,0.657,0.54
elements,1.0,0.709,0.624
scheme,1.0,0.763,0.601
bounds,1.0,0.719,0.58
freedom,1.0,0.72,0.656
collect,1.0,0.734,0.714
gather,1.0,0.679,0.547
talk,1.0,0.698,0.571
length,1.0,0.646,0.549
pair,1.0,0.627,0.525
married,1.0,0.692,0.565
live,1.0,0.653,0.507
consumption,1.0,0.693,0.581
lock,1.0,0.743,0.642
engaged,1.0,0.799,0.641
vows,1.0,0.808,0.636
join,1.0,0.756,0.587
allow,1.0,0.728,0.582
general,1.0,0.624,0.447
secondary,1.0,0.712,0.606
school,1.0,0.656,0.502
grades,1.0,0.689,0.607
9,1.0,0.483,0.411
12,1.0,0.459,0.365
including,1.0,0.654,0.399
American,1.0,0.573,0.438
leader,1.0,0.641,0.453
car,1.0,0.762,0.662
British,1.0,0.65,0.489
term,1.0,0.687,0.558
monopoly,1.0,0.801,0.731
compound,1.0,0.637,0.474
cracking,1.0,0.826,0.731
interested,1.0,0.742,0.652
To,1.0,0.7,0.66
emotionally,1.0,0.738,0.636
intellectually,1.0,0.85,0.8
attached,1.0,0.739,0.64
goods,1.0,0.716,0.595
rates,1.0,0.731,0.603
management,1.0,0.625,0.47
remove,1.0,0.726,0.688
husk,1.0,0.759,0.695
shell,1.0,0.658,0.53
fall,1.0,0.658,0.535
abstain,1.0,0.868,0.804
eating,1.0,0.834,0.779
foods,1.0,0.696,0.624
hot,1.0,0.651,0.482
burning,1.0,0.636,0.519
refused,1.0,0.776,0.577
cooking,1.0,0.713,0.621
kitchen,1.0,0.803,0.729
throat,1.0,0.778,0.734
degree,1.0,0.674,0.54
turn,1.0,0.622,0.494
axis,1.0,0.86,0.827
spin,1.0,0.747,0.652
around,1.0,0.585,0.454
center,1.0,0.721,0.55
marriage,1.0,0.706,0.623
offer,1.0,0.604,0.431
Try,1.0,0.816,0.753
fear,1.0,0.707,0.574
show,1.0,0.579,0.433
legal,1.0,0.596,0.465
record,1.0,0.625,0.439
entering,1.0,0.646,0.526
document,1.0,0.753,0.646
wither,1.0,0.897,0.863
mature,1.0,0.783,0.692
imperfectly,1.0,0.928,0.88
flower,1.0,0.772,0.688
faith,1.0,0.685,0.564
bet,1.0,0.772,0.695
flames,1.0,0.875,0.799
start,1.0,0.587,0.453
burn,1.0,0.626,0.483
processes,1.0,0.842,0.787
remember,1.0,0.725,0.654
mechanism,1.0,0.74,0.673
water,1.0,0.784,0.684
level,1.0,0.677,0.514
section,1.0,0.783,0.702
enclosure,1.0,0.805,0.711
closed,1.0,0.721,0.551
raise,1.0,0.675,0.549
vessels,1.0,0.942,0.899
worry,1.0,0.718,0.638
difficult,1.0,0.625,0.493
fulfilling,1.0,0.755,0.684
desired,1.0,0.683,0.525
expectations,1.0,0.697,0.586
formed,1.0,0.615,0.421
ball,1.0,0.826,0.739
hitting,1.0,0.66,0.47
golf,1.0,0.666,0.545
driver,1.0,0.652,0.531
material,1.0,0.704,0.558
destroyed,1.0,0.641,0.479
throw,1.0,0.735,0.639
utter,1.0,0.759,0.73
add,1.0,0.692,0.627
drinking,1.0,0.804,0.723
operate,1.0,0.744,0.653
saliva,1.0,0.798,0.769
connected,1.0,0.819,0.768
musical,1.0,0.697,0.596
theme,1.0,0.751,0.651
notes,1.0,0.575,0.446
original,1.0,0.642,0.496
yet,1.0,0.521,0.359
style,1.0,0.604,0.441
size,1.0,0.735,0.615
family,1.0,0.687,0.509
demand,1.0,0.643,0.454
ask,1.0,0.752,0.681
right,1.0,0.583,0.453
title,1.0,0.637,0.494
rejected,1.0,0.703,0.558
reputation,1.0,0.756,0.703
rights,1.0,0.709,0.578
vote,1.0,0.704,0.567
women,1.0,0.722,0.615
expand,1.0,0.712,0.546
abstract,1.0,0.683,0.635
last,1.0,0.487,0.336
carried,1.0,0.617,0.4
carries,1.0,0.721,0.558
understanding,1.0,0.701,0.623
principles,1.0,0.841,0.815
sex,1.0,0.721,0.601
banquet,1.0,0.817,0.866
feast,1.0,0.915,0.912
slowly,1.0,0.751,0.657
drops,1.0,0.623,0.444
stream,1.0,0.796,0.677
programme,1.0,0.804,0.706
write,1.0,0.745,0.712
existing,1.0,0.73,0.544
law,1.0,0.696,0.574
conform,1.0,0.838,0.818
electronic,1.0,0.732,0.573
memory,1.0,0.679,0.548
reference,1.0,0.694,0.594
help,1.0,0.683,0.533
letters,1.0,0.757,0.654
Look,1.0,0.686,0.649
look,1.0,0.676,0.595
cast,1.0,0.647,0.488
rid,1.0,0.837,0.765
recover,1.0,0.796,0.789
assigned,1.0,0.784,0.636
frequency,1.0,0.691,0.605
importance,1.0,0.753,0.677
each,1.0,0.605,0.458
statistics,1.0,0.657,0.557
represent,1.0,0.782,0.667
round,1.0,0.604,0.394
Provide,1.0,0.866,0.856
coat,1.0,0.758,0.668
batter,1.0,0.646,0.543
pitcher,1.0,0.732,0.638
financial,1.0,0.664,0.522
match,1.0,0.66,0.547
shoving,1.0,1.0,1.0
drive,1.0,0.633,0.495
forcefully,1.0,0.818,0.709
intense,1.0,0.6,0.48
surprise,1.0,0.693,0.537
unpleasant,1.0,0.821,0.826
win,1.0,0.603,0.422
mentally,1.0,0.729,0.593
domestic,1.0,0.683,0.536
cat,1.0,0.831,0.78
young,1.0,0.787,0.652
referring,1.0,0.775,0.656
camp,1.0,0.692,0.514
popular,1.0,0.626,0.44
present,1.0,0.614,0.464
long,1.0,0.561,0.416
thin,1.0,0.661,0.584
implement,1.0,0.707,0.609
wood,1.0,0.734,0.649
reject,1.0,0.722,0.593
formerly,1.0,0.65,0.465
held,1.0,0.633,0.452
belief,1.0,0.826,0.75
formally,1.0,0.674,0.518
port,1.0,0.652,0.48
imply,1.0,0.711,0.678
attach,1.0,0.707,0.606
fix,1.0,0.681,0.576
assign,1.0,0.884,0.871
task,1.0,0.7,0.58
constructing,1.0,0.867,0.835
primary,1.0,0.575,0.433
component,1.0,0.74,0.665
chip,1.0,0.683,0.527
does,1.0,0.616,0.513
data,1.0,0.683,0.567
view,1.0,0.64,0.559
had,1.0,0.551,0.436
voted,1.0,0.803,0.702
before,1.0,0.607,0.442
reverse,1.0,0.754,0.639
define,1.0,0.855,0.827
killing,1.0,0.645,0.443
organ,1.0,0.692,0.59
granting,1.0,0.711,0.61
response,1.0,0.757,0.627
electric,1.0,0.757,0.636
undergo,1.0,0.755,0.693
bestowing,1.0,0.829,0.76
subjective,1.0,0.654,0.568
aspect,1.0,0.762,0.683
proposing,1.0,0.814,0.741
candidate,1.0,0.641,0.488
proposed,1.0,0.621,0.434
suitable,1.0,0.703,0.542
appointment,1.0,0.704,0.584
election,1.0,0.694,0.58
hunt,1.0,0.721,0.631
shoot,1.0,0.789,0.667
layer,1.0,0.733,0.614
brick,1.0,0.781,0.698
construction,1.0,0.739,0.636
waves,1.0,0.748,0.629
phenomenon,1.0,0.773,0.686
wave,1.0,0.768,0.637
examine,1.0,0.752,0.672
search,1.0,0.692,0.494
custody,1.0,0.693,0.576
protection,1.0,0.677,0.551
Strike,1.0,0.707,0.6
sharply,1.0,0.669,0.561
sports,1.0,0.71,0.577
plane,1.0,0.73,0.619
fly,1.0,0.668,0.55
fourth,1.0,0.658,0.548
year,1.0,0.548,0.452
three,1.0,0.475,0.351
months,1.0,0.613,0.528
tight,1.0,0.657,0.499
restrictive,1.0,0.82,0.724
power,1.0,0.694,0.583
authority,1.0,0.707,0.639
Run,1.0,0.724,0.669
moderately,1.0,0.965,0.938
swift,1.0,0.96,0.927
pace,1.0,0.802,0.715
exercise,1.0,0.718,0.614
setting,1.0,0.656,0.458
intensely,1.0,0.793,0.692
store,1.0,0.653,0.522
bottle,1.0,0.795,0.735
bottles,1.0,0.781,0.686
Be,1.0,0.621,0.599
sign,1.0,0.624,0.447
choosing,1.0,0.887,0.86
picking,1.0,0.805,0.697
among,1.0,0.63,0.442
selecting,1.0,0.886,0.902
moving,1.0,0.697,0.579
motion,1.0,0.752,0.59
stronghold,1.0,0.69,0.559
elite,1.0,0.715,0.537
characteristic,1.0,0.729,0.663
acute,1.0,0.767,0.703
stronger,1.0,0.609,0.392
fraudulent,1.0,0.723,0.601
fruit,1.0,0.779,0.683
cooked,1.0,0.666,0.647
leading,1.0,0.574,0.373
coating,1.0,0.702,0.648
applied,1.0,0.681,0.545
steady,1.0,0.672,0.539
even,1.0,0.544,0.388
behave,1.0,0.894,0.881
communicate,1.0,0.798,0.723
male,1.0,0.639,0.509
bee,1.0,0.739,0.69
whose,1.0,0.723,0.479
queen,1.0,0.711,0.659
sole,1.0,0.765,0.684
mate,1.0,0.752,0.686
boxing,1.0,0.638,0.544
wrestling,1.0,0.813,0.696
plants,1.0,0.711,0.579
criticized,1.0,0.699,0.503
along,1.0,0.712,0.589
wheeled,1.0,0.722,0.626
vehicle,1.0,0.71,0.59
resting,1.0,0.77,0.653
seat,1.0,0.697,0.587
ground,1.0,0.75,0.63
coal,1.0,0.719,0.596
pain,1.0,0.716,0.637
injury,1.0,0.771,0.724
clear,1.0,0.6,0.441
retained,1.0,1.0,1.0
retaining,1.0,1.0,0.998
wrong,1.0,0.656,0.556
stretch,1.0,0.681,0.585
exist,1.0,0.739,0.693
laying,1.0,0.857,0.766
lay,1.0,0.676,0.517
approach,1.0,0.676,0.566
hole,1.0,0.847,0.711
pointed,1.0,0.611,0.435
hand,1.0,0.728,0.591
old,1.0,0.68,0.522
improve,1.0,0.761,0.674
damaging,1.0,0.852,0.774
causing,1.0,0.785,0.669
breaking,1.0,0.768,0.658
building,1.0,0.677,0.518
floor,1.0,0.841,0.746
room,1.0,0.799,0.702
housing,1.0,0.661,0.51
functioning,1.0,0.637,0.481
inherent,1.0,0.902,0.872
items,1.0,0.717,0.581
Remove,1.0,0.904,0.89
erasing,1.0,0.731,0.637
upper,1.0,0.711,0.628
nose,1.0,0.719,0.63
shine,1.0,0.7,0.601
former,1.0,0.681,0.451
speed,1.0,0.626,0.477
facilitate,1.0,0.754,0.667
swing,1.0,0.832,0.71
miss,1.0,0.627,0.481
third,1.0,0.549,0.422
striking,1.0,0.612,0.41
swinging,1.0,0.855,0.786
charged,1.0,0.722,0.598
alter,1.0,0.715,0.6
images,1.0,0.711,0.6
visible,1.0,0.738,0.653
solutions,1.0,0.828,0.757
sort,1.0,0.665,0.541
tree,1.0,0.837,0.768
tongue,1.0,0.732,0.685
generated,1.0,0.593,0.421
competition,1.0,0.715,0.6
race,1.0,0.687,0.544
conflict,1.0,0.675,0.577
opposed,1.0,0.635,0.501
acting,1.0,0.719,0.551
opposes,1.0,0.802,0.625
Start,1.0,0.693,0.623
abruptly,1.0,0.715,0.58
local,1.0,0.658,0.508
announcement,1.0,0.717,0.634
making,1.0,0.671,0.56
stabbing,1.0,0.778,0.649
gaining,1.0,0.644,0.471
entrance,1.0,0.686,0.564
spend,1.0,0.693,0.565
prison,1.0,0.68,0.574
labor,1.0,0.606,0.43
contain,1.0,0.748,0.659
informing,1.0,0.651,0.549
verbal,1.0,0.714,0.609
report,1.0,0.716,0.607
request,1.0,0.671,0.558
Put,1.0,0.782,0.72
termination,1.0,0.864,0.83
relationship,1.0,0.761,0.647
destruction,1.0,0.812,0.723
destroy,1.0,0.736,0.606
ride,1.0,0.737,0.65
bicycle,1.0,0.82,0.751
motorcycle,1.0,0.839,0.775
principal,1.0,0.711,0.595
earn,1.0,0.684,0.584
your,1.0,0.507,0.454
you,1.0,0.459,0.424
criticism,1.0,0.785,0.686
committee,1.0,0.813,0.653
powers,1.0,0.693,0.579
composition,1.0,0.71,0.623
gear,1.0,0.693,0.553
meal,1.0,0.725,0.668
plug,1.0,0.61,0.45
fill,1.0,0.758,0.63
incite,1.0,0.794,0.766
announce,1.0,0.773,0.636
copy,1.0,0.704,0.572
following,1.0,0.597,0.375
computers,1.0,0.744,0.593
exchange,1.0,0.619,0.447
digital,1.0,0.663,0.461
them,1.0,0.559,0.464
networks,1.0,0.842,0.753
smaller,1.0,0.621,0.512
play,1.0,0.685,0.577
role,1.0,0.717,0.584
land,1.0,0.705,0.564
extended,1.0,0.601,0.374
mix,1.0,0.676,0.488
hope,1.0,0.753,0.662
armed,1.0,0.716,0.518
metal,1.0,0.725,0.596
summary,1.0,0.609,0.464
affected,1.0,0.763,0.612
affect,1.0,0.73,0.62
corn,1.0,0.801,0.682
serious,1.0,0.608,0.466
minor,1.0,0.633,0.48
excuse,1.0,0.825,0.802
signs,1.0,0.665,0.51
symptoms,1.0,0.776,0.705
assistance,1.0,0.724,0.614
employment,1.0,0.734,0.603
consequence,1.0,0.767,0.721
Travel,1.0,0.7,0.651
foot,1.0,0.728,0.588
cross,1.0,0.659,0.506
band,1.0,0.831,0.746
leather,1.0,0.806,0.744
neck,1.0,0.671,0.549
harness,1.0,0.614,0.526
equip,1.0,0.79,0.716
specifically,1.0,0.627,0.401
reason,1.0,0.707,0.646
solution,1.0,0.78,0.683
Move,1.0,0.738,0.708
agency,1.0,0.669,0.493
communicated,1.0,0.809,0.794
constituent,1.0,0.676,0.548
decree,1.0,0.816,0.741
issue,1.0,0.62,0.474
generally,1.0,0.548,0.388
acoustic,1.0,0.796,0.749
members,1.0,0.657,0.499
all,1.0,0.538,0.398
races,1.0,0.769,0.71
ethnic,1.0,0.797,0.665
groups,1.0,0.674,0.536
pounding,1.0,0.969,0.918
abrading,1.0,0.935,0.95
particles,1.0,0.867,0.821
baseball,1.0,0.692,0.584
exhaust,1.0,0.814,0.784
allowing,1.0,0.722,0.584
pull,1.0,0.67,0.534
angle,1.0,0.772,0.69
hook,1.0,0.656,0.564
drawn,1.0,0.656,0.562
bonds,1.0,0.719,0.607
woman,1.0,0.879,0.83
fast,1.0,0.744,0.621
hostility,1.0,0.941,0.934
oppose,1.0,0.746,0.703
complex,1.0,0.594,0.423
putting,1.0,0.82,0.728
components,1.0,0.705,0.636
providing,1.0,0.789,0.696
actors,1.0,0.706,0.638
personal,1.0,0.639,0.471
restaurant,1.0,0.757,0.704
harder,1.0,0.739,0.704
story,1.0,0.699,0.598
placing,1.0,0.795,0.712
Part,1.0,0.712,0.664
obtain,1.0,0.762,0.707
buy,1.0,0.742,0.582
candidates,1.0,0.748,0.638
nominated,1.0,0.688,0.507
air,1.0,0.686,0.552
unite,1.0,0.766,0.68
materials,1.0,0.788,0.713
firmly,1.0,0.741,0.626
wider,1.0,0.604,0.426
extensive,1.0,0.536,0.403
broader,1.0,0.858,0.804
unrestricted,1.0,0.902,0.867
claim,1.0,0.602,0.459
taking,1.0,0.635,0.494
base,1.0,0.636,0.447
runner,1.0,0.874,0.808
him,1.0,0.556,0.462
tag,1.0,0.755,0.586
reflected,1.0,0.663,0.538
competitor,1.0,0.707,0.625
player,1.0,0.768,0.686
Either,1.0,0.929,0.903
categories,1.0,0.733,0.65
female,1.0,0.632,0.468
properties,1.0,0.665,0.57
combining,1.0,0.812,0.704
8,1.0,0.469,0.372
depth,1.0,0.747,0.699
coming,1.0,0.672,0.512
rest,1.0,0.661,0.517
anger,1.0,0.761,0.666
tear,1.0,0.703,0.551
spiral,1.0,0.791,0.752
Release,1.0,0.649,0.538
energy,1.0,0.595,0.467
reaction,1.0,0.865,0.792
metaphorical,1.0,0.542,0.501
bridge,1.0,0.686,0.532
highest,1.0,0.689,0.549
bid,1.0,0.623,0.479
becomes,1.0,0.69,0.487
contract,1.0,0.684,0.518
tricks,1.0,0.765,0.686
must,1.0,0.686,0.588
campaign,1.0,0.681,0.509
war,1.0,0.674,0.535
respond,1.0,0.788,0.693
stimulus,1.0,0.766,0.631
skin,1.0,0.703,0.613
caused,1.0,0.675,0.483
exposure,1.0,0.719,0.652
causal,1.0,0.789,0.749
conditioner,1.0,0.833,0.785
smooth,1.0,0.803,0.782
shiny,1.0,0.785,0.671
apply,1.0,0.737,0.635
extreme,1.0,0.626,0.508
testing,1.0,0.796,0.703
proof,1.0,0.736,0.649
admit,1.0,0.714,0.65
accounting,1.0,0.641,0.494
sell,1.0,0.687,0.526
promote,1.0,0.829,0.693
darkness,1.0,0.782,0.74
color,1.0,0.717,0.65
heavily,1.0,0.711,0.586
fist,1.0,0.848,0.807
bat,1.0,0.833,0.755
willing,1.0,0.837,0.732
attitude,1.0,0.733,0.655
prior,1.0,0.648,0.473
working,1.0,0.611,0.421
eat,1.0,0.75,0.688
bed,1.0,0.796,0.732
grip,1.0,0.677,0.607
string,1.0,0.606,0.495
impression,1.0,0.887,0.86
try,1.0,0.695,0.567
free,1.0,0.665,0.46
Express,1.0,0.701,0.572
uncertainty,1.0,0.798,0.743
serving,1.0,0.688,0.509
day,1.0,0.557,0.458
today,1.0,0.594,0.443
immediately,1.0,0.585,0.409
Medicine,1.0,0.892,0.841
measured,1.0,0.658,0.578
what,1.0,0.643,0.588
done,1.0,0.672,0.581
hands,1.0,0.691,0.541
lift,1.0,0.633,0.479
relieve,1.0,0.784,0.714
detailed,1.0,0.744,0.664
narrate,1.0,0.998,0.995
Any,1.0,0.647,0.575
alert,1.0,0.672,0.556
plans,1.0,0.645,0.469
efforts,1.0,0.697,0.559
hoax,1.0,0.767,0.718
raising,1.0,0.857,0.809
stakes,1.0,0.734,0.64
2,1.0,0.519,0.415
card,1.0,0.722,0.569
foreign,1.0,0.631,0.438
incorrect,1.0,0.772,0.629
produced,1.0,0.814,0.736
occurrence,1.0,0.768,0.717
pleasure,1.0,0.69,0.655
pleasing,1.0,0.735,0.686
soft,1.0,0.651,0.52
inability,1.0,0.924,0.88
heart,1.0,0.655,0.503
pump,1.0,0.688,0.622
sustain,1.0,0.709,0.661
functions,1.0,0.671,0.598
enough,1.0,0.658,0.514
normal,1.0,0.632,0.477
bodily,1.0,0.762,0.628
vibrate,1.0,0.98,0.966
definite,1.0,0.726,0.61
warn,1.0,0.778,0.697
faster,1.0,0.717,0.609
Supply,1.0,0.797,0.712
ready,1.0,0.744,0.573
parties,1.0,0.751,0.59
protest,1.0,0.689,0.549
specified,1.0,0.647,0.471
thick,1.0,0.601,0.479
hastily,1.0,0.857,0.802
hurt,1.0,0.648,0.516
tell,1.0,0.654,0.583
spread,1.0,0.714,0.561
cure,1.0,0.802,0.74
treatment,1.0,0.652,0.537
illness,1.0,0.765,0.704
sweeping,1.0,0.682,0.509
address,1.0,0.623,0.444
temporarily,1.0,0.61,0.376
leaves,1.0,0.642,0.452
exact,1.0,0.625,0.523
thread,1.0,0.774,0.68
dots,1.0,0.816,0.795
relevant,1.0,0.563,0.435
news,1.0,0.603,0.449
energetic,1.0,0.612,0.504
crossing,1.0,0.731,0.583
cook,1.0,0.751,0.655
boils,1.0,0.851,0.785
bubbles,1.0,0.756,0.741
map,1.0,0.742,0.678
details,1.0,0.733,0.652
purposes,1.0,0.73,0.604
courses,1.0,0.687,0.566
demanded,1.0,0.719,0.551
duties,1.0,0.837,0.758
questions,1.0,0.746,0.689
issues,1.0,0.638,0.492
Lead,1.0,0.658,0.515
lead,1.0,0.571,0.376
accessible,1.0,0.696,0.607
increases,1.0,0.779,0.666
mathematical,1.0,0.752,0.634
shoe,1.0,0.778,0.755
federal,1.0,0.61,0.444
stimulation,1.0,0.793,0.753
Revolution,1.0,0.741,0.61
mathematics,1.0,0.629,0.57
representing,1.0,0.71,0.508
this,1.0,0.493,0.404
demanding,1.0,0.624,0.436
factors,1.0,0.842,0.771
class,1.0,0.687,0.531
total,1.0,0.582,0.397
input,1.0,0.843,0.785
flight,1.0,0.741,0.62
tin,1.0,0.779,0.708
chain,1.0,0.715,0.542
forming,1.0,0.814,0.696
constant,1.0,0.679,0.537
cooling,1.0,0.698,0.55
paint,1.0,0.794,0.731
attend,1.0,0.749,0.605
fasten,1.0,0.838,0.804
fight,1.0,0.69,0.565
book,1.0,0.694,0.598
active,1.0,0.6,0.465
sin,1.0,0.758,0.697
evil,1.0,0.682,0.584
delivering,1.0,0.833,0.733
declare,1.0,0.758,0.658
fat,1.0,0.729,0.554
oil,1.0,0.667,0.505
pruning,1.0,0.923,0.908
polishing,1.0,0.824,0.809
perfect,1.0,0.594,0.444
central,1.0,0.647,0.432
approximately,1.0,0.611,0.419
sovereign,1.0,0.745,0.646
finger,1.0,0.804,0.725
next,1.0,0.561,0.407
thumb,1.0,0.774,0.647
department,1.0,0.737,0.589
consideration,1.0,0.743,0.679
excessive,1.0,0.631,0.503
hiring,1.0,0.942,0.943
annoying,1.0,0.895,0.887
sink,1.0,0.796,0.707
argument,1.0,0.725,0.671
aside,1.0,0.706,0.621
intend,1.0,0.766,0.682
register,1.0,0.901,0.852
participant,1.0,0.725,0.716
print,1.0,0.65,0.518
birds,1.0,0.799,0.77
posts,1.0,0.593,0.426
stable,1.0,0.586,0.405
arms,1.0,0.622,0.479
raised,1.0,0.59,0.417
stand,1.0,0.71,0.583
genetic,1.0,0.754,0.563
DNA,1.0,0.696,0.595
immersed,1.0,0.873,0.825
boiling,1.0,0.773,0.687
crops,1.0,0.838,0.776
channels,1.0,0.862,0.828
ditches,1.0,0.903,0.866
streams,1.0,0.881,0.767
tour,1.0,0.702,0.566
city,1.0,0.615,0.481
River,1.0,0.73,0.588
southern,1.0,0.798,0.614
England,1.0,0.511,0.413
chart,1.0,0.785,0.644
dimensions,1.0,0.745,0.667
movements,1.0,0.833,0.775
Take,1.0,0.7,0.651
vital,1.0,0.679,0.517
inadequate,1.0,0.766,0.623
chin,1.0,0.927,0.895
untrue,1.0,0.853,0.878
winding,1.0,0.688,0.591
twisting,1.0,0.762,0.732
compensate,1.0,0.796,0.628
signals,1.0,0.632,0.484
code,1.0,0.84,0.726
arm,1.0,0.663,0.516
hail,1.0,0.666,0.478
snow,1.0,0.872,0.804
lightning,1.0,0.861,0.73
rain,1.0,0.848,0.76
built,1.0,0.732,0.604
terminal,1.0,0.741,0.668
phase,1.0,0.596,0.423
let,1.0,0.751,0.637
champion,1.0,0.811,0.707
advantage,1.0,0.699,0.613
changes,1.0,0.744,0.627
starts,1.0,0.563,0.378
flying,1.0,0.809,0.746
He,1.0,0.749,0.718
said,1.0,0.588,0.442
needs,1.0,0.661,0.515
technology,1.0,0.694,0.545
laced,1.0,0.957,0.929
Nasdaq,1.0,0.734,0.651
Composite,1.0,0.905,0.86
Index,1.0,0.829,0.775
.IXIC,1.0,0.806,0.785
0.11,1.0,0.708,0.673
percent,1.0,0.599,0.489
broad,1.0,0.621,0.529
Standard,1.0,0.836,0.773
Poor,1.0,0.899,0.867
500,1.0,0.72,0.666
.SPX,1.0,0.828,0.796
3,1.0,0.455,0.364
It,1.0,0.852,0.839
huge,1.0,0.6,0.433
black,1.0,0.775,0.686
Arthur,1.0,0.809,0.713
Jr.,1.0,0.85,0.645
controlled,1.0,0.585,0.417
paper,1.0,0.761,0.652
since,1.0,0.678,0.471
scandal,1.0,0.724,0.619
Chairman,1.0,0.734,0.533
William,1.0,0.621,0.474
there,1.0,0.707,0.629
cop,1.0,0.737,0.644
I,1.0,0.653,0.656
think,1.0,0.749,0.706
Vivendi,1.0,0.889,0.804
shares,1.0,0.736,0.565
euros,1.0,0.735,0.647
Paris,1.0,0.632,0.486
Monday,1.0,0.618,0.474
In,1.0,0.716,0.67
New,1.0,0.608,0.442
York,1.0,0.639,0.498
were,1.0,0.483,0.35
$,1.0,0.612,0.471
Myanmar,1.0,0.728,0.669
pro,1.0,0.765,0.581
democracy,1.0,0.685,0.579
Aung,1.0,0.905,0.833
San,1.0,0.634,0.493
Suu,1.0,0.853,0.791
Kyi,1.0,0.857,0.776
late,1.0,0.557,0.351
Friday,1.0,0.612,0.483
detention,1.0,0.691,0.547
recovering,1.0,0.795,0.639
surgery,1.0,0.762,0.656
hospital,1.0,0.679,0.587
her,1.0,0.441,0.377
arrest,1.0,0.639,0.483
she,1.0,0.557,0.526
underwent,1.0,0.786,0.608
spokesman,1.0,0.702,0.491
declined,1.0,0.674,0.519
Thursday,1.0,0.608,0.475
John,1.0,0.649,0.482
commission,1.0,0.735,0.565
Washington,1.0,0.604,0.449
Mr.,1.0,0.742,0.614
Bremer,1.0,0.906,0.821
initiative,1.0,0.713,0.618
launch,1.0,0.598,0.424
US$,1.0,0.572,0.407
70,1.0,0.538,0.411
million,1.0,0.635,0.475
nationwide,1.0,0.596,0.407
weeks,1.0,0.627,0.545
neighborhoods,1.0,0.861,0.769
build,1.0,0.723,0.603
projects,1.0,0.787,0.645
he,1.0,0.516,0.498
would,1.0,0.59,0.504
Iraq,1.0,0.673,0.576
gave,1.0,0.663,0.484
afternoon,1.0,0.634,0.502
trading,1.0,0.665,0.554
Europe,1.0,0.676,0.578
France,1.0,0.635,0.512
advanced,1.0,0.472,0.312
Britain,1.0,0.627,0.514
100,1.0,0.521,0.406
gained,1.0,0.666,0.535
0.7,1.0,0.686,0.605
while,1.0,0.633,0.461
Germany,1.0,0.606,0.488
index,1.0,0.749,0.64
rose,1.0,0.696,0.533
1.3,1.0,0.475,0.402
0.2,1.0,0.72,0.689
later,1.0,0.581,0.36
learned,1.0,0.745,0.615
incident,1.0,0.72,0.61
was,1.0,0.464,0.345
found,1.0,0.6,0.416
powerful,1.0,0.642,0.464
Kerry,1.0,0.748,0.646
Bob,1.0,0.765,0.584
Graham,1.0,0.755,0.639
speak,1.0,0.777,0.702
shows,1.0,0.595,0.421
Florida,1.0,0.621,0.475
also,1.0,0.505,0.295
genes,1.0,0.836,0.76
Y,1.0,0.859,0.762
may,1.0,0.645,0.532
gender,1.0,0.819,0.743
differences,1.0,0.715,0.588
One,1.0,0.747,0.695
studied,1.0,0.585,0.438
defining,1.0,0.862,0.808
But,1.0,0.899,0.858
earlier,1.0,0.568,0.347
am,1.0,0.758,0.718
themselves,1.0,0.758,0.636
south,1.0,0.66,0.488
east,1.0,0.642,0.486
a.m.,1.0,0.795,0.67
p.m.,1.0,0.863,0.796
southeast,1.0,0.757,0.558
Jones,1.0,0.737,0.644
analyst,1.0,0.74,0.633
Grant,1.0,0.677,0.552
we,1.0,0.613,0.616
whether,1.0,0.77,0.633
U.N.,1.0,0.695,0.57
Yes,1.0,0.943,0.879
sought,1.0,0.664,0.505
United,1.0,0.644,0.499
States,1.0,0.785,0.635
Feb.,1.0,0.787,0.557
25,1.0,0.426,0.354
Wednesday,1.0,0.576,0.429
Catholic,1.0,0.828,0.742
distribute,1.0,0.772,0.578
his,1.0,0.42,0.334
won,1.0,0.7,0.47
both,1.0,0.586,0.385
singing,1.0,0.879,0.852
If,1.0,0.902,0.856
Could,1.0,0.586,0.507
She,1.0,0.806,0.773
evening,1.0,0.692,0.554
Governor,1.0,0.758,0.638
estimated,1.0,0.603,0.429
yesterday,1.0,0.618,0.435
fires,1.0,0.624,0.442
could,1.0,0.589,0.515
